lon,lat,weapontype,attacktype,targettype
-95.37,29.76,1137,683,3269
-83.05,42.33,1482,1146,1327
-93.62,41.59,1137,683,2585
-111.89,40.76,1137,683,2104
-78.59,36.31,1482,1146,2644
-80.23,25.8,1482,1146,725
-71.06,42.46,1482,1146,2104
-73.96,40.81,1137,683,1089
-118.11,33.78,1137,683,1089
-78.59,36.31,1482,1146,725
13.33,52.51,1482,1146,725
-56.19,-34.89,1198,486,2104
13.33,52.51,1198,398,725
-122.33,47.6,1137,683,725
-74.01,40.71,1137,683,2104
-90.33,38.55,1482,1146,1327
-84.58,30.59,1137,683,3525
-77.19,40.2,1482,1146,1327
-80.2,25.76,1482,1146,1089
-117.37,35.77,1137,683,2644
-74.01,40.71,2077,3438,3290
-93.14,44.95,1198,398,2585
-93.62,42.03,1137,683,2585
-78.59,36.31,1482,1146,725
-78.59,36.31,1482,1146,725
-78.59,36.31,1482,1146,725
-118.25,34.05,1137,683,1327
-71.07,42.3,1482,1146,2763
-71.07,42.3,1482,1146,2763
-121.49,38.58,1198,398,2585
-112.08,33.45,1137,683,1327
-73.96,40.76,1137,683,1089
-117.93,33.88,1482,1146,1089
-58.38,-34.6,3514,1451,1327
-56.19,-34.89,1198,398,2104
-122.27,37.81,1137,683,2644
-117.16,32.72,2930,1146,2104
-74.01,40.71,1137,683,725
122.75,11.59,1137,683,98
-91.19,30.44,1137,683,3525
-88.08,41.52,1137,486,2644
-122.68,45.51,1482,1146,1327
-122.27,37.81,1137,683,2585
-118.45,34.07,1137,683,2104
121.04,14.68,1137,683,1326
13.33,52.51,1198,398,725
13.33,52.51,1198,398,1327
-73.97,40.78,1482,1146,725
-122.27,37.87,1137,683,2585
35.93,31.95,3514,3514,2104
35.93,31.95,3514,1451,1326
-118.23,33.96,1137,683,2585
-87.63,41.88,1137,683,1327
-122.27,37.81,1137,683,2104
-69.33,10.06,3514,1451,725
51.42,35.7,1137,683,98
-74.01,40.71,1137,683,2585
35.93,31.95,1198,1450,725
35.93,31.95,1198,1450,725
-90.36,40.95,1482,1146,1327
-74.17,40.73,1198,486,2644
35.93,31.95,3514,486,2104
-43.2,-22.91,3514,1451,1326
51.42,35.7,1137,683,98
-95.94,41.26,1137,683,2585
-56.19,-34.89,3514,3514,1326
-89.18,37.01,1137,683,1327
-89.18,37.01,1198,398,2585
-93.62,41.59,1137,683,725
-94.58,39.1,1137,683,725
13.33,52.51,1482,1146,1327
13.33,52.51,1482,1146,1327
-118.41,33.89,1137,683,2585
-122.29,37.83,1137,683,2585
-74.0,40.73,1482,1146,1089
-73.97,40.78,1482,1146,2447
-122.27,37.87,1137,683,725
-122.27,37.87,1137,683,725
-87.63,41.88,1198,398,2585
-122.43,37.77,1198,398,2585
-93.62,41.59,1137,683,2585
13.33,52.51,1482,1146,1327
-122.42,37.78,1137,683,2104
-74.01,40.71,1137,683,725
-94.74,32.5,1137,683,2644
-7.32,54.99,1482,398,3290
-7.32,54.99,1198,398,2644
-5.93,54.6,1198,398,2644
-5.93,54.6,1198,398,2644
-5.93,54.6,1198,398,2763
-83.05,42.33,1198,398,2585
-93.66,41.6,1137,683,1089
-87.9,43.12,1137,683,725
-74.42,40.62,1198,398,2585
-73.97,40.78,1482,1146,725
-73.97,40.78,1482,1146,725
-73.97,40.78,1482,1146,725
-73.97,40.78,1482,1146,725
-88.01,43.07,1137,683,725
-71.05,42.29,1482,1146,2763
-43.2,-22.91,3514,1427,98
-77.04,38.92,1137,683,2644
-122.26,37.87,1137,683,1089
-77.03,38.89,1137,683,1326
-77.03,38.89,1137,683,1326
-77.03,38.89,1137,683,1326
-77.03,38.89,1137,683,1326
-95.94,41.26,1137,683,725
-118.22,33.9,1137,683,2585
-73.97,40.78,1137,683,2644
-122.33,47.6,1137,683,725
-74.01,40.71,1137,683,725
-74.03,40.61,1482,1146,2104
-94.74,32.5,1137,683,1089
-81.51,41.08,1137,683,2644
-73.67,40.59,1137,683,2644
-122.42,37.78,1198,486,2644
-73.79,40.73,1137,683,2585
-74.01,40.71,1137,683,2644
-74.01,40.71,1137,683,1326
-74.01,40.71,1137,683,725
-74.01,40.71,1137,683,1326
-86.47,33.95,1137,683,725
-122.64,38.23,1482,1146,1713
11.58,48.14,1482,1146,1327
-87.86,42.04,1482,1146,1327
-75.51,5.06,3514,1451,1327
-70.93,41.64,1198,398,2644
-122.16,37.44,1137,683,725
-87.63,41.88,1482,1146,2352
-73.97,40.78,1482,1146,2104
-87.63,41.88,1482,1146,2352
-73.94,40.68,1482,1146,2104
-93.09,44.94,1482,1146,1327
-87.64,41.9,1198,398,2585
-73.97,40.78,1137,683,725
-73.94,40.65,1482,1146,2352
-117.16,32.72,1137,683,725
-73.79,40.73,1137,683,2585
-87.91,43.04,1137,683,725
23.72,37.98,1198,1427,98
-87.9,43.01,1137,683,3525
-75.12,39.95,1482,1146,2104
-86.25,12.14,3514,1451,725
-118.25,34.05,1137,683,1327
-34.88,-8.05,3514,1451,1326
-73.94,40.68,1482,1146,2352
-90.2,38.63,1137,486,725
-90.82,43.94,1137,683,2104
-74.01,40.71,1137,683,725
-90.82,43.94,1137,683,3525
-90.82,43.94,1137,683,3269
-122.42,37.78,1137,683,2104
-122.42,37.78,1137,683,2104
-56.19,-34.89,3514,1451,1327
-95.37,29.76,1137,683,725
-1.64,42.82,1137,683,1713
-122.24,37.77,1137,683,1327
-87.63,41.88,1137,683,3525
-56.19,-34.89,3514,1451,1326
-56.19,-34.89,3514,1451,1326
-56.19,-34.89,3514,1451,1327
-58.74,-34.42,1198,398,2644
-80.84,35.22,1198,398,2644
4.9,52.37,1198,398,1326
-74.01,40.71,1137,683,725
4.35,50.85,1137,683,1326
-122.27,37.87,1137,683,2585
-87.97,43.01,1137,683,725
-65.22,-26.81,1198,486,2585
-117.86,33.87,1137,683,725
-121.89,37.34,1198,398,2585
13.4,52.52,1137,683,1327
-76.5,39.27,1482,1146,1327
-122.53,37.97,1198,1451,1327
-60.7,-31.63,1198,398,725
-122.68,45.51,1482,1146,1327
-6.61,54.08,1137,683,2585
13.4,52.52,1137,683,2585
13.4,52.52,1137,683,2585
-88.65,33.61,1198,486,2644
-95.94,41.26,1137,683,2644
-93.27,44.95,1137,683,2104
-73.94,40.68,1482,1146,2352
-56.19,-34.89,3514,1451,1327
-77.03,38.89,1137,683,1326
-76.83,39.46,1482,1146,1327
-122.27,37.87,1198,398,2585
-56.19,-34.89,1198,1450,3269
-123.07,44.04,1482,1146,1089
-93.09,44.94,1137,683,2585
-76.66,39.3,1482,1146,2104
-89.39,43.07,1137,683,2104
-99.13,19.43,3514,1451,1326
-71.19,42.51,1482,1146,2585
13.4,52.52,1137,683,725
-71.12,42.38,1482,1146,1089
-77.8,35.95,1137,683,1089
-122.06,37.9,1482,1146,2104
-77.03,38.89,1137,683,1326
-122.27,37.87,1482,1146,725
-122.06,37.9,1482,1146,1327
-118.08,33.95,1137,683,1327
-77.03,38.89,1137,683,1326
-83.38,33.95,1482,1146,1089
32.87,39.92,1137,683,2104
35.93,31.95,3514,1451,2104
-56.19,-34.89,1482,1146,725
-75.16,39.95,1198,398,725
23.72,37.98,1137,683,1326
-122.42,37.78,1137,683,2585
-121.9,37.43,1137,683,725
-121.99,37.55,1137,683,725
-90.05,35.15,1137,683,2644
-93.09,44.94,1137,683,725
-56.19,-34.89,1137,486,1327
-5.93,54.6,1137,683,3290
-87.89,43.06,1137,683,725
-117.87,33.75,1137,683,1327
-90.54,41.82,1137,683,2585
-118.25,34.05,1137,683,1327
8.68,50.11,1137,1427,98
8.54,47.37,3514,1427,98
4.9,52.37,1198,1427,98
34.78,32.09,1198,1427,98
-71.79,42.58,1137,683,2585
13.4,52.52,1137,683,2644
-64.18,-31.4,1137,683,1326
-89.39,43.07,1482,1146,1713
-82.35,29.65,1482,1146,1089
35.93,31.95,3514,1451,1326
-56.19,-34.89,1137,683,725
-58.38,-34.6,3514,1451,1713
-0.13,51.5,3514,1451,1326
-56.19,-34.89,1482,1146,725
-56.19,-34.89,1482,1146,725
-60.67,-32.95,1198,398,2585
-83.54,41.65,1198,398,2585
-70.87,42.81,1137,683,2104
-71.16,42.35,1198,398,2585
-56.19,-34.89,1482,1146,725
-74.01,40.71,1137,683,1327
13.4,52.52,1137,683,1326
-74.01,40.71,1137,683,2104
