category,nattacks,nkilled,nkilledter,nwounded,nwoundedter,subcategory,subtype,type
3668,4.0,0.0,0.0,0.0,0.0,978,2763,3672
3668,6.0,6.0,0.0,0.0,0.0,978,3290,3672
3668,7.0,3.0,0.0,8.0,0.0,982,725,3672
3668,7.0,0.0,0.0,0.0,0.0,982,1327,3672
3668,4.0,0.0,0.0,0.0,0.0,982,2585,3672
3668,6.0,2.0,0.0,20.0,0.0,982,2644,3672
3668,1.0,0.0,0.0,0.0,0.0,982,2763,3672
3668,1.0,0.0,0.0,0.0,0.0,982,3351,3672
3668,2.0,0.0,0.0,0.0,0.0,983,98,3672
3668,1.0,0.0,0.0,1.0,0.0,983,1326,3672
3668,2.0,0.0,0.0,1.0,0.0,983,1327,3672
3668,3.0,1.0,0.0,21.0,0.0,983,2644,3672
3668,1.0,0.0,0.0,0.0,0.0,983,3351,3672
3668,8.0,32.0,21.0,11.0,3.0,1015,98,3672
3668,6.0,77.0,13.0,50.0,0.0,1015,725,3672
3668,1.0,0.0,0.0,5.0,0.0,1015,1089,3672
3668,29.0,43.0,18.0,67.0,0.0,1015,1326,3672
