lon,lat,k,type
128.899678899,12.1074464832,5,1146
-94.1610333049,30.957882152,6,1146
30.7177497256,23.678298573,6,1146
120.01566077,10.5216545265,6,1146
4.21698434004,48.3373557047,6,1146
-71.8805045278,-9.75495472186,6,1146
79.3210011574,25.5345486111,6,1146
54.8448903244,24.503988784,2,398
-80.8681983258,6.20453187379,2,398
84.5506087885,22.4988640525,3,398
-81.5457254392,6.1145035784,3,398
28.7632312162,26.1883335534,3,398
-81.5457254392,6.1145035784,4,398
74.0446538304,27.4080151577,4,398
28.6947500166,26.1611019138,4,398
114.38355267,8.5255089997,4,398
26.6586608016,3.42821114369,5,398
-81.5457254392,6.1145035784,5,398
74.0629103024,27.3702009226,5,398
29.7597478739,37.8328214107,5,398
114.38355267,8.5255089997,5,398
-81.5457254392,6.1145035784,6,398
74.14966454,27.3710516567,6,398
25.5225845865,1.27630404135,6,398
40.4936145043,33.9372791565,6,398
114.38355267,8.5255089997,6,398
3.9055940912,40.8852312139,6,398
48.6465311005,26.4681339713,2,1427
-73.7800925926,9.60388888889,2,1427
26.8924028269,27.6293992933,3,1427
-75.9716346154,9.38173076923,3,1427
91.0539568345,23.7847482014,3,1427
91.6725735294,23.6335294118,4,1427
-75.9716346154,9.38173076923,4,1427
37.8481967213,19.3842622951,4,1427
8.47922330097,42.3662135922,4,1427
8.47922330097,42.3662135922,5,1427
116.717884615,17.6394230769,5,1427
37.2475842697,18.9131460674,5,1427
-75.9716346154,9.38173076923,5,1427
75.216741573,27.8392134831,5,1427
75.2675280899,27.43,6,1427
-75.9716346154,9.38173076923,6,1427
35.1179245283,7.76141509434,6,1427
37.8407777778,37.347,6,1427
116.717884615,17.6394230769,6,1427
4.36164705882,42.1498823529,6,1427
-76.8567502411,2.51729026037,2,3514
51.7138375486,22.4593531128,2,3514
-77.9372914622,2.2527576055,3,3514
83.1963083284,24.3107147076,3,3514
29.3449322938,21.1365162085,3,3514
33.1148697917,2.64236979167,4,3514
-77.9372914622,2.2527576055,4,3514
83.1963083284,24.3107147076,4,3514
25.9651906615,37.7164824903,4,3514
74.5119899425,27.7811350575,5,3514
-77.9372914622,2.2527576055,5,3514
25.7879702194,37.7579310345,5,3514
33.1148697917,2.64236979167,5,3514
121.259612903,8.946,5,3514
74.6644034707,27.7547216197,6,3514
-77.9372914622,2.2527576055,6,3514
34.4096855346,2.43638814016,6,3514
40.2189801325,36.0363576159,6,3514
121.259612903,8.946,6,3514
5.0092970123,37.9447100176,6,3514
-78.6589230769,16.4085384615,2,3438
53.5825859492,30.4060239163,2,3438
23.0999433428,34.682407932,3,3438
-80.2019685039,16.5537795276,3,3438
86.6848275862,25.4843887147,3,3438
73.2520912548,27.1520152091,4,3438
-80.2019685039,16.5537795276,4,3438
22.3245614035,35.4983625731,4,3438
132.931940299,16.2834328358,4,3438
