category,nattacks,nkilled,nkilledter,nwounded,nwoundedter,subcategory,year
3672,45,69,8,431,0,1326,2003
3672,33,55,11,243,4,1326,2004
3672,39,26,6,36,0,1326,2005
3672,42,58,21,86,0,1326,2006
3672,40,93,2,62,0,1326,2007
3672,91,146,13,272,1,1326,2008
3672,57,92,14,229,1,1326,2009
3672,74,67,21,275,3,1326,2010
3672,45,68,12,182,1,1326,2011
3672,93,74,16,122,1,1326,2012
3672,111,207,40,445,9,1326,2013
3672,157,281,62,431,7,1326,2014
3672,151,172,35,278,4,1326,2015
3672,79,8,0,5,0,1327,1970
3672,45,3,0,0,0,1327,1971
3672,16,8,2,8,0,1327,1972
3672,22,12,0,276,0,1327,1973
3672,35,18,0,19,0,1327,1974
3672,63,25,0,11,0,1327,1975
3672,102,20,0,38,0,1327,1976
3672,177,35,0,98,1,1327,1977
3672,230,92,0,86,0,1327,1978
3672,456,231,14,234,2,1327,1979
3672,354,258,5,389,3,1327,1980
3672,279,223,3,158,4,1327,1981
3672,233,165,6,366,0,1327,1982
3672,249,199,0,288,1,1327,1983
3672,291,246,19,207,0,1327,1984
3672,299,342,50,379,0,1327,1985
3672,346,253,0,650,0,1327,1986
3672,498,515,8,540,0,1327,1987
3672,588,454,1,957,0,1327,1988
3672,643,517,2,423,0,1327,1989
3672,492,369,3,455,0,1327,1990
3672,507,598,2,650,1,1327,1991
3672,584,442,0,882,0,1327,1992
3672,452,406,2,622,0,1327,1994
3672,364,490,6,1152,0,1327,1995
3672,454,343,6,838,0,1327,1996
3672,470,431,0,446,0,1327,1997
3672,120,126,3,212,0,1327,1998
3672,199,172,26,502,4,1327,1999
3672,270,320,16,547,20,1327,2000
3672,250,450,30,598,0,1327,2001
3672,174,333,15,441,5,1327,2002
3672,181,262,20,781,0,1327,2003
3672,162,972,537,1200,207,1327,2004
3672,329,540,53,955,5,1327,2005
3672,368,574,47,813,19,1327,2006
3672,329,819,62,1703,1,1327,2007
3672,711,1114,81,2951,8,1327,2008
3672,767,1167,89,3341,12,1327,2009
3672,915,1064,84,1890,11,1327,2010
3672,868,1336,120,2230,26,1327,2011
3672,836,1078,139,1639,24,1327,2012
3672,1274,1543,192,2956,10,1327,2013
3672,1557,1827,472,2160,176,1327,2014
3672,1139,1981,410,2241,115,1327,2015
3672,8,1,0,0,0,1713,1970
3672,12,0,0,0,0,1713,1971
3672,5,2,0,24,0,1713,1972
3672,3,0,0,1,0,1713,1973
3672,9,1,0,4,0,1713,1974
3672,16,12,0,0,0,1713,1975
3672,25,1,0,1,0,1713,1976
3672,52,5,0,50,0,1713,1977
