category,time,count
Larceny/Theft,9,13890
Larceny/Theft,10,17135
Larceny/Theft,11,18835
Larceny/Theft,12,24449
Larceny/Theft,13,21679
Larceny/Theft,14,22561
Larceny/Theft,15,24199
Larceny/Theft,16,25221
Larceny/Theft,17,28702
Larceny/Theft,18,33840
Larceny/Theft,19,31673
Larceny/Theft,20,27480
Larceny/Theft,21,23326
Larceny/Theft,22,23028
Larceny/Theft,23,21149
Liquor Laws,0,193
Liquor Laws,1,93
Liquor Laws,2,88
Liquor Laws,3,39
Liquor Laws,4,27
Liquor Laws,5,13
Liquor Laws,6,36
Liquor Laws,7,82
Liquor Laws,8,116
Liquor Laws,9,118
Liquor Laws,10,147
Liquor Laws,11,156
Liquor Laws,12,200
Liquor Laws,13,197
Liquor Laws,14,171
Liquor Laws,15,183
Liquor Laws,16,267
Liquor Laws,17,439
Liquor Laws,18,349
Liquor Laws,19,278
Liquor Laws,20,175
Liquor Laws,21,192
Liquor Laws,22,225
Liquor Laws,23,218
Loitering,0,77
Loitering,1,62
Loitering,2,44
Loitering,3,36
Loitering,4,21
Loitering,5,89
Loitering,6,144
Loitering,7,136
Loitering,8,124
Loitering,9,99
Loitering,10,114
Loitering,11,114
Loitering,12,109
Loitering,13,136
Loitering,14,124
Loitering,15,90
Loitering,16,136
Loitering,17,167
Loitering,18,145
Loitering,19,112
Loitering,20,86
Loitering,21,88
Loitering,22,56
Loitering,23,74
Missing Person,0,1938
Missing Person,1,885
Missing Person,2,729
Missing Person,3,444
Missing Person,4,318
Missing Person,5,438
Missing Person,6,1038
Missing Person,7,3359
Missing Person,8,4085
Missing Person,9,3327
Missing Person,10,3328
Missing Person,11,3128
Missing Person,12,4178
Missing Person,13,3132
Missing Person,14,3233
Missing Person,15,3782
Missing Person,16,3425
Missing Person,17,3265
Missing Person,18,3307
Missing Person,19,2744
Missing Person,20,2637
Missing Person,21,2486
Missing Person,22,2423
Missing Person,23,2046
Non-Criminal,0,9907
Non-Criminal,1,5382
Non-Criminal,2,4213
Non-Criminal,3,2860
Non-Criminal,4,2062
Non-Criminal,5,2076
Non-Criminal,6,3801
Non-Criminal,7,6290
Non-Criminal,8,9409
Non-Criminal,9,10528
Non-Criminal,10,11734
Non-Criminal,11,11740
Non-Criminal,12,16098
Non-Criminal,13,12585
Non-Criminal,14,12531
Non-Criminal,15,13104
Non-Criminal,16,13169
Non-Criminal,17,12243
Non-Criminal,18,11600
Non-Criminal,19,10109
Non-Criminal,20,9372
Non-Criminal,21,9254
Non-Criminal,22,9157
Non-Criminal,23,8448
Other Offenses,0,17379
Other Offenses,1,8334
Other Offenses,2,6853
Other Offenses,3,4519
Other Offenses,4,3390
Other Offenses,5,2697
Other Offenses,6,3909
Other Offenses,7,7758
Other Offenses,8,12065
Other Offenses,9,13627
Other Offenses,10,13292
Other Offenses,11,13088
Other Offenses,12,18364
Other Offenses,13,14479
Other Offenses,14,14527
Other Offenses,15,15342
Other Offenses,16,16943
Other Offenses,17,17736
Other Offenses,18,16252
Other Offenses,19,13798
Other Offenses,20,11971
Other Offenses,21,12069
Other Offenses,22,14927
Other Offenses,23,14404
Pornography/Obscene Mat,0,4
Pornography/Obscene Mat,2,3
Pornography/Obscene Mat,3,2
Pornography/Obscene Mat,6,2
Pornography/Obscene Mat,8,2
Pornography/Obscene Mat,9,3
Pornography/Obscene Mat,10,1
Pornography/Obscene Mat,11,2
Pornography/Obscene Mat,12,4
Pornography/Obscene Mat,13,1
Pornography/Obscene Mat,14,7
Pornography/Obscene Mat,15,2
Pornography/Obscene Mat,16,4
Pornography/Obscene Mat,17,1
Pornography/Obscene Mat,18,3
Pornography/Obscene Mat,20,1
Pornography/Obscene Mat,21,3
Pornography/Obscene Mat,22,5
Pornography/Obscene Mat,23,1
Prostitution,0,1315
Prostitution,1,1020
Prostitution,2,750
Prostitution,3,517
Prostitution,4,454
Prostitution,5,571
Prostitution,6,514
Prostitution,7,265
Prostitution,8,148
Prostitution,9,158
Prostitution,10,189
Prostitution,11,211
Prostitution,12,443
Prostitution,13,325
Prostitution,14,286
Prostitution,15,209
Prostitution,16,270
Prostitution,17,575
Prostitution,18,1155
Prostitution,19,1338
Prostitution,20,1067
Prostitution,21,1265
Prostitution,22,1557
Prostitution,23,1568
Recovered Vehicle,0,332
Recovered Vehicle,1,241
Recovered Vehicle,2,200
Recovered Vehicle,3,185
Recovered Vehicle,4,143
Recovered Vehicle,5,94
Recovered Vehicle,6,118
Recovered Vehicle,7,389
Recovered Vehicle,8,434
Recovered Vehicle,9,526
Recovered Vehicle,10,504
Recovered Vehicle,11,522
Recovered Vehicle,12,572
Recovered Vehicle,13,474
Recovered Vehicle,14,410
Recovered Vehicle,15,365
Recovered Vehicle,16,479
Recovered Vehicle,17,406
Recovered Vehicle,18,331
Recovered Vehicle,19,310
Recovered Vehicle,20,252
Recovered Vehicle,21,229
Recovered Vehicle,22,285
Recovered Vehicle,23,288
Robbery,0,2811
Robbery,1,2851
Robbery,2,3001
Robbery,3,1812
Robbery,4,1175
Robbery,5,1001
Robbery,6,963
Robbery,7,875
Robbery,8,993
Robbery,9,1174
Robbery,10,1334
Robbery,11,1517
Robbery,12,1794
Robbery,13,1927
Robbery,14,2040
Robbery,15,2320
Robbery,16,2554
Robbery,17,2506
Robbery,18,2652
Robbery,19,2845
Robbery,20,3168
Robbery,21,3627
Robbery,22,3584
Robbery,23,3348
Runaway,0,113
Runaway,1,51
Runaway,2,39
Runaway,3,19
Runaway,4,17
Runaway,5,18
Runaway,6,69
Runaway,7,232
Runaway,8,262
Runaway,9,191
Runaway,10,210
Runaway,11,193
Runaway,12,223
Runaway,13,208
Runaway,14,203
Runaway,15,238
Runaway,16,248
Runaway,17,232
Runaway,18,296
Runaway,19,244
Runaway,20,248
Runaway,21,202
Runaway,22,199
Runaway,23,168
Secondary Codes,0,1363
Secondary Codes,1,772
Secondary Codes,2,739
Secondary Codes,3,518
Secondary Codes,4,365
Secondary Codes,5,277
Secondary Codes,6,396
Secondary Codes,7,598
Secondary Codes,8,925
Secondary Codes,9,968
Secondary Codes,10,977
Secondary Codes,11,1055
Secondary Codes,12,1413
Secondary Codes,13,1093
Secondary Codes,14,1051
Secondary Codes,15,1197
Secondary Codes,16,1202
Secondary Codes,17,1214
Secondary Codes,18,1291
Secondary Codes,19,1205
Secondary Codes,20,1253
Secondary Codes,21,1220
Secondary Codes,22,1210
Secondary Codes,23,1059
"Sex Offenses, Forcible",0,1316
"Sex Offenses, Forcible",1,521
"Sex Offenses, Forcible",2,551
"Sex Offenses, Forcible",3,357
"Sex Offenses, Forcible",4,198
"Sex Offenses, Forcible",5,163
"Sex Offenses, Forcible",6,135
"Sex Offenses, Forcible",7,192
"Sex Offenses, Forcible",8,362
"Sex Offenses, Forcible",9,361
"Sex Offenses, Forcible",10,335
"Sex Offenses, Forcible",11,308
"Sex Offenses, Forcible",12,524
"Sex Offenses, Forcible",13,386
"Sex Offenses, Forcible",14,399
"Sex Offenses, Forcible",15,514
"Sex Offenses, Forcible",16,492
"Sex Offenses, Forcible",17,498
"Sex Offenses, Forcible",18,435
"Sex Offenses, Forcible",19,389
"Sex Offenses, Forcible",20,499
"Sex Offenses, Forcible",21,459
"Sex Offenses, Forcible",22,517
"Sex Offenses, Forcible",23,544
"Sex Offenses, Non Forcible",0,72
"Sex Offenses, Non Forcible",1,6
"Sex Offenses, Non Forcible",2,2
"Sex Offenses, Non Forcible",3,2
"Sex Offenses, Non Forcible",4,1
"Sex Offenses, Non Forcible",5,3
"Sex Offenses, Non Forcible",6,6
"Sex Offenses, Non Forcible",7,5
"Sex Offenses, Non Forcible",8,17
"Sex Offenses, Non Forcible",9,17
"Sex Offenses, Non Forcible",10,12
"Sex Offenses, Non Forcible",11,20
"Sex Offenses, Non Forcible",12,37
"Sex Offenses, Non Forcible",13,18
"Sex Offenses, Non Forcible",14,20
"Sex Offenses, Non Forcible",15,26
"Sex Offenses, Non Forcible",16,16
"Sex Offenses, Non Forcible",17,14
"Sex Offenses, Non Forcible",18,18
"Sex Offenses, Non Forcible",19,11
"Sex Offenses, Non Forcible",20,15
"Sex Offenses, Non Forcible",21,12
"Sex Offenses, Non Forcible",22,13
"Sex Offenses, Non Forcible",23,17
Stolen Property,0,515
Stolen Property,1,370
Stolen Property,2,307
Stolen Property,3,237
Stolen Property,4,211
Stolen Property,5,162
Stolen Property,6,179
Stolen Property,7,273
Stolen Property,8,340
Stolen Property,9,364
Stolen Property,10,405
Stolen Property,11,473
Stolen Property,12,617
Stolen Property,13,584
Stolen Property,14,618
Stolen Property,15,671
Stolen Property,16,703
Stolen Property,17,706
Stolen Property,18,685
Stolen Property,19,559
Stolen Property,20,536
Stolen Property,21,471
Stolen Property,22,490
Stolen Property,23,452
Suicide,0,42
Suicide,1,40
Suicide,2,27
Suicide,3,22
Suicide,4,15
Suicide,5,21
Suicide,6,30
Suicide,7,42
Suicide,8,46
Suicide,9,61
Suicide,10,65
Suicide,11,67
Suicide,12,63
Suicide,13,69
Suicide,14,66
Suicide,15,75
Suicide,16,58
Suicide,17,63
Suicide,18,65
Suicide,19,66
Suicide,20,56
Suicide,21,64
Suicide,22,39
Suicide,23,38
Suspicious Occ,0,4734
Suspicious Occ,1,2014
Suspicious Occ,2,1836
Suspicious Occ,3,1291
Suspicious Occ,4,869
Suspicious Occ,5,701
Suspicious Occ,6,1148
Suspicious Occ,7,1850
Suspicious Occ,8,3220
Suspicious Occ,9,3627
Suspicious Occ,10,3606
Suspicious Occ,11,3711
Suspicious Occ,12,5510
Suspicious Occ,13,3934
Suspicious Occ,14,3940
Suspicious Occ,15,4278
Suspicious Occ,16,4099
Suspicious Occ,17,3904
Suspicious Occ,18,3838
Suspicious Occ,19,3424
Suspicious Occ,20,3119
Suspicious Occ,21,3107
Suspicious Occ,22,2987
Suspicious Occ,23,2580
Trea,2,2
Trea,5,1
Trea,6,1
Trea,7,1
Trea,10,1
Trea,11,1
Trea,12,1
Trea,16,1
Trea,17,1
Trea,19,1
Trea,20,1
Trea,22,1
Trespass,0,518
Trespass,1,374
Trespass,2,404
Trespass,3,334
Trespass,4,237
Trespass,5,493
Trespass,6,1082
Trespass,7,1154
Trespass,8,1072
Trespass,9,963
Trespass,10,941
Trespass,11,887
Trespass,12,966
Trespass,13,911
Trespass,14,802
Trespass,15,885
Trespass,16,816
Trespass,17,840
Trespass,18,781
Trespass,19,705
Trespass,20,666
Trespass,21,661
Trespass,22,561
Trespass,23,492
Vandalism,0,6015
Vandalism,1,4231
Vandalism,2,3995
Vandalism,3,2619
Vandalism,4,1729
Vandalism,5,1424
Vandalism,6,1654
Vandalism,7,2256
Vandalism,8,3317
Vandalism,9,3089
Vandalism,10,3188
Vandalism,11,3023
Vandalism,12,4138
Vandalism,13,3185
Vandalism,14,3621
Vandalism,15,4302
Vandalism,16,4741
Vandalism,17,6401
Vandalism,18,7569
Vandalism,19,6810
Vandalism,20,6804
Vandalism,21,6997
Vandalism,22,7105
Vandalism,23,6537
Vehicle Theft,0,4513
Vehicle Theft,1,3113
Vehicle Theft,2,2467
Vehicle Theft,3,1516
Vehicle Theft,4,1166
Vehicle Theft,5,1176
Vehicle Theft,6,1721
Vehicle Theft,7,3004
Vehicle Theft,8,4275
Vehicle Theft,9,4188
Vehicle Theft,10,3918
Vehicle Theft,11,3505
Vehicle Theft,12,5143
Vehicle Theft,13,3663
Vehicle Theft,14,4335
Vehicle Theft,15,5094
Vehicle Theft,16,6049
Vehicle Theft,17,8051
Vehicle Theft,18,9807
Vehicle Theft,19,8556
Vehicle Theft,20,8984
Vehicle Theft,21,8716
Vehicle Theft,22,9182
Vehicle Theft,23,8008
Warrants,0,3830
Warrants,1,2630
Warrants,2,2158
Warrants,3,1661
Warrants,4,1266
Warrants,5,908
Warrants,6,1568
Warrants,7,3029
Warrants,8,3572
Warrants,9,4166
Warrants,10,4508
Warrants,11,4818
Warrants,12,5113
Warrants,13,5453
Warrants,14,5628
Warrants,15,5508
Warrants,16,6039
Warrants,17,6200
Warrants,18,5642
Warrants,19,4902
Warrants,20,3973
Warrants,21,3807
Warrants,22,4598
Warrants,23,4216
Weapon Laws,0,1032
Weapon Laws,1,753
Weapon Laws,2,674
Weapon Laws,3,397
Weapon Laws,4,292
Weapon Laws,5,159
Weapon Laws,6,231
Weapon Laws,7,401
Weapon Laws,8,551
Weapon Laws,9,723
Weapon Laws,10,732
Weapon Laws,11,863
Weapon Laws,12,991
Weapon Laws,13,988
Weapon Laws,14,1002
Weapon Laws,15,1132
Weapon Laws,16,1203
Weapon Laws,17,1165
Weapon Laws,18,1265
Weapon Laws,19,1160
Weapon Laws,20,1087
Weapon Laws,21,1090
Weapon Laws,22,1166
Weapon Laws,23,1101
